geo,sex,values
EE,F,46.3
LV,F,45.4
LT,F,41.9
HR,F,40.1
MT,F,32.6
CY,F,33.7
BG,F,28.7
SI,F,25.8
DE,F,21.4
ES,F,18.9
AT,F,19.4
HU,F,18.8
PT,F,23.4
CZ,F,11.0
PL,F,17.7
IT,F,19.7
RO,F,19.0
IE,F,23.2
FI,F,15.4
SE,F,11.3
BE,F,12.6
FR,F,13.4
NL,F,12.7
DK,F,12.2
LU,F,9.1
SK,F,10.0
EE,M,26.8
LV,M,33.2
LT,M,27.5
HR,M,32.7
MT,M,26.6
CY,M,28.2
BG,M,20.7
SI,M,18.4
DE,M,17.0
ES,M,14.4
AT,M,12.4
HU,M,11.9
PT,M,18.1
CZ,M,4.5
PL,M,11.5
IT,M,14.9
RO,M,12.6
IE,M,17.5
FI,M,7.9
SE,M,10.4
BE,M,11.9
FR,M,11.0
NL,M,12.1
DK,M,9.8
LU,M,9.6
SK,M,7.2
